Type,Collisions,,,
Names,States,Time Spent,Number Of Collisions,List Size
Duration,5:13,,,
IndividualBP_C_31,Explore,1:25,45,1
IndividualBP_C_34,Explore,1:17,57,1
IndividualBP_C_60,Explore,1:09,65,1
IndividualBP_C_22,Explore,1:27,67,1
IndividualBP_C_0,Explore,1:05,61,1
IndividualBP_C_56,Explore,0:35,4,2
IndividualBP_C_15,Explore,0:58,29,2
IndividualBP_C_39,Explore,1:03,37,2
IndividualBP_C_67,Explore,1:15,39,2
IndividualBP_C_55,Explore,1:11,52,2
IndividualBP_C_21,Explore,1:19,52,2
IndividualBP_C_57,Explore,1:23,66,2
IndividualBP_C_35,Explore,0:20,2,2
IndividualBP_C_3,Explore,0:26,5,2
IndividualBP_C_46,Explore,0:25,9,2
IndividualBP_C_32,Explore,1:09,57,2
IndividualBP_C_61,Explore,1:25,86,2
IndividualBP_C_33,Explore,1:22,38,3
IndividualBP_C_58,Explore,1:24,65,3
IndividualBP_C_66,Explore,0:58,40,3
IndividualBP_C_41,Explore,1:00,48,3
IndividualBP_C_23,Explore,1:37,92,3
IndividualBP_C_7,Explore,0:45,14,4
IndividualBP_C_9,Explore,1:08,39,4
IndividualBP_C_59,Explore,1:19,39,4
IndividualBP_C_68,Explore,1:22,41,4
IndividualBP_C_42,Explore,1:24,50,4
IndividualBP_C_54,Explore,0:54,19,4
IndividualBP_C_40,Explore,1:12,59,4
IndividualBP_C_36,Explore,1:26,41,5
IndividualBP_C_37,Explore,1:04,42,5
IndividualBP_C_10,Explore,1:39,44,5
IndividualBP_C_43,Explore,1:35,55,5
IndividualBP_C_12,Explore,1:24,35,5
IndividualBP_C_28,Explore,1:07,44,5
IndividualBP_C_50,Explore,1:09,46,5
IndividualBP_C_63,Fast Buy,1:23,50,5
IndividualBP_C_1,Fast Buy,1:43,68,5
IndividualBP_C_17,Fast Buy,0:34,9,6
IndividualBP_C_14,Fast Buy,0:57,22,6
IndividualBP_C_49,Fast Buy,1:21,52,6
IndividualBP_C_29,Fast Buy,0:32,3,6
IndividualBP_C_69,Fast Buy,1:10,28,6
IndividualBP_C_65,Fast Buy,1:33,44,6
IndividualBP_C_24,Fast Buy,1:17,48,6
IndividualBP_C_18,Fast Buy,1:08,36,7
IndividualBP_C_20,Fast Buy,1:43,46,7
IndividualBP_C_48,Fast Buy,1:14,49,7
IndividualBP_C_52,Fast Buy,1:18,49,7
IndividualBP_C_27,Fast Buy,0:56,18,7
IndividualBP_C_30,Fast Buy,1:12,36,7
IndividualBP_C_51,Fast Buy,1:34,56,7
IndividualBP_C_4,Fast Buy,1:21,57,7
IndividualBP_C_2,Fast Buy,1:20,64,7
IndividualBP_C_47,Fast Buy,1:51,93,7
IndividualBP_C_64,Fast Buy,1:17,36,8
IndividualBP_C_6,Fast Buy,1:38,53,8
IndividualBP_C_44,Fast Buy,1:35,62,8
IndividualBP_C_5,Fast Buy,1:55,91,8
IndividualBP_C_38,Fast Buy,1:32,43,9
IndividualBP_C_62,Fast Buy,1:12,34,9
IndividualBP_C_25,Fast Buy,1:22,40,9
IndividualBP_C_19,Fast Buy,0:46,10,10
IndividualBP_C_53,Fast Buy,1:16,31,10
IndividualBP_C_26,Fast Buy,1:09,37,10
IndividualBP_C_13,Fast Buy,1:33,43,10
IndividualBP_C_11,Fast Buy,1:43,51,10
IndividualBP_C_8,Fast Buy,1:34,45,10
IndividualBP_C_45,Fast Buy,2:03,57,10
IndividualBP_C_16,Fast Buy,1:45,105,10
