Type,Collisions,,,
Names,States,Time Spent,Number Of Collisions,List Size
Duration,10:18,,,
IndividualBP_C_0,Explore,0:38,9,1
IndividualBP_C_3,Explore,0:36,9,1
IndividualBP_C_4,Explore,1:51,86,1
IndividualBP_C_6,Explore,1:12,36,1
IndividualBP_C_10,Explore,0:41,30,1
IndividualBP_C_5,Explore,0:46,19,1
IndividualBP_C_7,Explore,0:46,22,1
IndividualBP_C_9,Explore,0:37,11,2
IndividualBP_C_16,Explore,0:47,29,2
IndividualBP_C_12,Explore,1:26,62,2
IndividualBP_C_13,Explore,1:54,108,2
IndividualBP_C_22,Explore,0:55,44,2
IndividualBP_C_23,Explore,1:27,52,2
IndividualBP_C_15,Explore,1:40,65,2
IndividualBP_C_14,Explore,1:26,45,2
IndividualBP_C_26,Explore,1:23,47,2
IndividualBP_C_21,Explore,0:58,21,2
IndividualBP_C_30,Explore,0:34,5,3
IndividualBP_C_29,Explore,0:33,3,3
IndividualBP_C_36,Explore,1:23,69,3
IndividualBP_C_38,Explore,2:03,73,3
IndividualBP_C_46,Explore,1:20,39,3
IndividualBP_C_47,Explore,1:14,49,3
IndividualBP_C_50,Explore,1:30,44,3
IndividualBP_C_55,Explore,1:36,47,3
IndividualBP_C_49,Explore,1:12,38,3
IndividualBP_C_53,Explore,1:02,24,3
IndividualBP_C_51,Explore,0:53,13,4
IndividualBP_C_52,Explore,1:48,99,4
IndividualBP_C_58,Explore,1:18,62,4
IndividualBP_C_54,Explore,0:53,27,4
IndividualBP_C_57,Explore,1:58,90,5
IndividualBP_C_62,Explore,2:11,123,5
IndividualBP_C_64,Explore,1:07,31,5
IndividualBP_C_63,Explore,1:29,44,5
IndividualBP_C_68,Explore,0:50,18,5
IndividualBP_C_65,Explore,1:28,42,5
IndividualBP_C_66,Explore,1:42,81,6
IndividualBP_C_67,Explore,1:33,65,6
IndividualBP_C_70,Explore,0:54,20,6
IndividualBP_C_74,Explore,1:27,38,6
IndividualBP_C_71,Explore,1:10,38,6
IndividualBP_C_80,Explore,1:03,26,6
IndividualBP_C_82,Explore,1:20,31,6
IndividualBP_C_84,Explore,1:38,90,7
IndividualBP_C_81,Explore,1:12,47,7
IndividualBP_C_87,Explore,1:42,62,7
IndividualBP_C_85,Explore,1:18,40,7
IndividualBP_C_88,Explore,1:12,38,7
IndividualBP_C_96,Explore,1:10,41,7
IndividualBP_C_89,Explore,0:59,29,7
IndividualBP_C_93,Explore,1:05,21,7
IndividualBP_C_98,Explore,1:48,71,8
IndividualBP_C_100,Explore,1:19,61,8
IndividualBP_C_95,Explore,1:41,81,8
IndividualBP_C_101,Explore,1:38,91,8
IndividualBP_C_102,Explore,1:25,35,8
IndividualBP_C_110,Explore,1:04,23,8
IndividualBP_C_109,Explore,1:21,39,8
IndividualBP_C_107,Explore,1:01,30,8
IndividualBP_C_113,Explore,0:58,18,9
IndividualBP_C_112,Explore,1:24,54,9
IndividualBP_C_117,Explore,1:26,39,9
IndividualBP_C_123,Explore,1:07,23,9
IndividualBP_C_118,Explore,1:06,42,9
IndividualBP_C_121,Explore,0:59,26,9
IndividualBP_C_127,Explore,0:59,26,9
IndividualBP_C_126,Explore,0:50,15,10
IndividualBP_C_128,Explore,1:22,44,10
IndividualBP_C_133,Explore,1:49,72,10
