Type,Collisions,,,
IndividualBP_C_135,Explore,2:07,102,10
IndividualBP_C_141,Explore,1:21,49,10
IndividualBP_C_144,Explore,1:30,66,10
IndividualBP_C_146,Explore,1:08,45,10
IndividualBP_C_138,Explore,1:28,54,10
IndividualBP_C_145,Explore,1:05,26,10
IndividualBP_C_1,Fast Buy,0:18,0,1
IndividualBP_C_8,Fast Buy,0:12,1,1
IndividualBP_C_11,Fast Buy,0:13,4,1
IndividualBP_C_2,Fast Buy,1:30,66,1
IndividualBP_C_25,Fast Buy,0:41,12,1
IndividualBP_C_19,Fast Buy,0:47,27,1
IndividualBP_C_20,Fast Buy,0:41,18,1
IndividualBP_C_17,Fast Buy,0:31,17,1
IndividualBP_C_27,Fast Buy,0:37,14,1
IndividualBP_C_32,Fast Buy,0:32,25,2
IndividualBP_C_28,Fast Buy,1:11,55,2
IndividualBP_C_34,Fast Buy,1:11,63,2
IndividualBP_C_18,Fast Buy,1:40,78,2
IndividualBP_C_37,Fast Buy,1:59,113,2
IndividualBP_C_31,Fast Buy,0:58,47,2
IndividualBP_C_33,Fast Buy,1:12,46,2
IndividualBP_C_35,Fast Buy,1:06,57,2
IndividualBP_C_24,Fast Buy,1:18,78,2
IndividualBP_C_41,Fast Buy,0:59,26,2
IndividualBP_C_40,Fast Buy,1:02,40,2
IndividualBP_C_44,Fast Buy,0:57,35,2
IndividualBP_C_48,Fast Buy,0:53,25,2
IndividualBP_C_39,Fast Buy,1:43,73,3
IndividualBP_C_42,Fast Buy,1:22,44,3
IndividualBP_C_45,Fast Buy,1:04,43,3
IndividualBP_C_43,Fast Buy,1:07,54,3
IndividualBP_C_59,Fast Buy,1:33,84,3
IndividualBP_C_60,Fast Buy,1:02,37,3
IndividualBP_C_56,Fast Buy,0:56,24,3
IndividualBP_C_61,Fast Buy,0:36,13,3
IndividualBP_C_69,Fast Buy,1:18,65,4
IndividualBP_C_73,Fast Buy,1:48,77,4
IndividualBP_C_75,Fast Buy,2:15,112,4
IndividualBP_C_76,Fast Buy,1:29,55,4
IndividualBP_C_72,Fast Buy,1:26,51,4
IndividualBP_C_78,Fast Buy,1:05,29,4
IndividualBP_C_83,Fast Buy,1:37,83,5
IndividualBP_C_77,Fast Buy,1:20,50,5
IndividualBP_C_79,Fast Buy,0:49,22,5
IndividualBP_C_90,Fast Buy,0:43,17,5
IndividualBP_C_86,Fast Buy,0:50,21,5
IndividualBP_C_91,Fast Buy,0:51,21,5
IndividualBP_C_99,Fast Buy,0:46,18,6
IndividualBP_C_92,Fast Buy,1:34,80,6
IndividualBP_C_94,Fast Buy,1:25,52,6
IndividualBP_C_97,Fast Buy,1:10,42,6
IndividualBP_C_105,Fast Buy,0:58,20,6
IndividualBP_C_103,Fast Buy,1:05,23,6
IndividualBP_C_106,Fast Buy,1:20,24,6
IndividualBP_C_104,Fast Buy,2:12,127,7
IndividualBP_C_108,Fast Buy,2:05,79,7
IndividualBP_C_111,Fast Buy,1:10,51,7
IndividualBP_C_119,Fast Buy,1:19,53,7
IndividualBP_C_114,Fast Buy,1:07,22,7
IndividualBP_C_115,Fast Buy,1:25,53,7
IndividualBP_C_116,Fast Buy,0:58,21,7
IndividualBP_C_122,Fast Buy,1:04,21,7
IndividualBP_C_125,Fast Buy,1:32,43,8
IndividualBP_C_124,Fast Buy,1:22,56,8
IndividualBP_C_120,Fast Buy,1:41,49,8
IndividualBP_C_129,Fast Buy,1:34,50,8
IndividualBP_C_134,Fast Buy,0:53,20,8
IndividualBP_C_136,Fast Buy,1:01,31,8
IndividualBP_C_130,Fast Buy,0:58,22,8
IndividualBP_C_131,Fast Buy,1:00,32,8
IndividualBP_C_140,Fast Buy,1:29,44,9
IndividualBP_C_143,Fast Buy,1:13,39,9
IndividualBP_C_132,Fast Buy,1:14,36,9
IndividualBP_C_137,Fast Buy,2:35,128,10
IndividualBP_C_139,Fast Buy,1:44,74,10
IndividualBP_C_142,Fast Buy,1:36,56,10
IndividualBP_C_152,Fast Buy,1:39,54,10
