Type,Collisions,,,,,,
Names,States,Time Spent,Number Of Collisions,List Size,,,
IndividualBP_C_1,Explore,0:15,2,12,,,
IndividualBP_C_4,Explore,0:15,4,1,,,
IndividualBP_C_3,Explore,0:16,7,3,,,
IndividualBP_C_7,Explore,0:17,5,5,,,
IndividualBP_C_10,Explore,0:18,7,9,,,
IndividualBP_C_15,Explore,0:18,2,6,,,
IndividualBP_C_11,Explore,0:19,6,4,,,
IndividualBP_C_17,Explore,0:20,7,8,,,
IndividualBP_C_14,Explore,0:20,9,3,,,
IndividualBP_C_16,Explore,0:20,5,3,,,
IndividualBP_C_20,Explore,0:20,8,2,,,
IndividualBP_C_21,Explore,0:21,6,5,,,
IndividualBP_C_26,Explore,0:21,10,4,,,
IndividualBP_C_31,Explore,0:21,8,10,,,
IndividualBP_C_34,Explore,0:21,6,2,,,
IndividualBP_C_30,Explore,0:23,5,17,,,
IndividualBP_C_33,Explore,0:23,11,8,,,
IndividualBP_C_35,Explore,0:23,8,2,,,
IndividualBP_C_39,Explore,0:23,14,2,,,
IndividualBP_C_40,Explore,0:23,11,1,,,
IndividualBP_C_38,Explore,0:25,5,17,,,
IndividualBP_C_41,Explore,0:25,5,15,,,
IndividualBP_C_42,Explore,0:27,9,11,,,
IndividualBP_C_53,Explore,0:29,5,19,,,
IndividualBP_C_50,Explore,0:31,6,18,,,
IndividualBP_C_54,Explore,0:32,11,6,0:21,7,7.423076923
IndividualBP_C_8,Fast Buy,0:09,0,1,,,
IndividualBP_C_2,Fast Buy,0:09,3,2,,,
IndividualBP_C_0,Fast Buy,0:13,2,1,,,
IndividualBP_C_5,Fast Buy,0:14,5,3,,,
IndividualBP_C_19,Fast Buy,0:18,7,5,,,
IndividualBP_C_6,Fast Buy,0:22,12,5,,,
IndividualBP_C_13,Fast Buy,0:22,10,8,,,
IndividualBP_C_18,Fast Buy,0:24,6,6,,,
IndividualBP_C_22,Fast Buy,0:26,10,4,,,
IndividualBP_C_9,Fast Buy,0:30,12,11,,,
IndividualBP_C_12,Fast Buy,0:31,7,11,,,
IndividualBP_C_29,Fast Buy,0:31,12,13,,,
IndividualBP_C_32,Fast Buy,0:32,15,14,,,
IndividualBP_C_24,Fast Buy,0:32,9,12,,,
IndividualBP_C_25,Fast Buy,0:39,13,15,,,
IndividualBP_C_23,Fast Buy,0:42,16,9,,,
IndividualBP_C_27,Fast Buy,0:43,16,9,,,
IndividualBP_C_28,Fast Buy,0:43,23,7,,,
IndividualBP_C_37,Fast Buy,0:44,18,16,,,
IndividualBP_C_48,Fast Buy,0:45,21,18,,,
IndividualBP_C_47,Fast Buy,0:48,21,18,,,
IndividualBP_C_44,Fast Buy,0:49,12,17,,,
IndividualBP_C_36,Fast Buy,0:51,23,20,,,
IndividualBP_C_46,Fast Buy,0:52,25,20,,,
IndividualBP_C_43,Fast Buy,0:53,19,20,,,
IndividualBP_C_45,Fast Buy,0:54,26,18,,,
IndividualBP_C_49,Fast Buy,0:54,26,17,0:34,13.66666667,11.11111111
Duration,2:43,,,,,,
