Type,Collisions,,,,,,
Names,States,Time Spent,Number Of Collisions,List Size,,,
IndividualBP_C_1,Explore,0:15,5,10,,,
IndividualBP_C_6,Explore,0:15,72,4,,,
IndividualBP_C_2,Explore,0:15,1,7,,,
IndividualBP_C_3,Explore,0:16,6,10,,,
IndividualBP_C_9,Explore,0:16,9,1,,,
IndividualBP_C_10,Explore,0:17,9,17,,,
IndividualBP_C_13,Explore,0:17,3,12,,,
IndividualBP_C_15,Explore,0:17,3,16,,,
IndividualBP_C_12,Explore,0:17,4,10,,,
IndividualBP_C_18,Explore,0:17,3,1,,,
IndividualBP_C_19,Explore,0:17,5,6,,,
IndividualBP_C_20,Explore,0:18,6,8,,,
IndividualBP_C_23,Explore,0:18,9,7,,,
IndividualBP_C_24,Explore,0:19,6,6,,,
IndividualBP_C_28,Explore,0:19,2,19,,,
IndividualBP_C_26,Explore,0:20,5,13,,,
IndividualBP_C_31,Explore,0:20,5,13,,,
IndividualBP_C_35,Explore,0:20,9,7,,,
IndividualBP_C_34,Explore,0:21,12,5,,,
IndividualBP_C_36,Explore,0:21,8,6,,,
IndividualBP_C_37,Explore,0:21,10,9,,,
IndividualBP_C_40,Explore,0:21,8,20,,,
IndividualBP_C_44,Explore,0:21,6,12,,,
IndividualBP_C_39,Explore,0:22,7,15,,,
IndividualBP_C_46,Explore,0:22,9,16,,,
IndividualBP_C_48,Explore,0:22,13,4,,,
IndividualBP_C_50,Explore,0:23,8,14,,,
IndividualBP_C_49,Explore,0:23,14,9,,,
IndividualBP_C_53,Explore,0:23,11,14,,,
IndividualBP_C_57,Explore,0:24,11,18,,,
IndividualBP_C_58,Explore,0:24,19,6,,,
IndividualBP_C_55,Explore,0:24,14,16,,,
IndividualBP_C_59,Explore,0:25,6,20,,,
IndividualBP_C_60,Explore,0:26,9,12,,,
IndividualBP_C_61,Explore,0:26,11,3,,,
IndividualBP_C_62,Explore,0:27,9,20,,,
IndividualBP_C_69,Explore,0:27,24,8,,,
IndividualBP_C_67,Explore,0:28,17,7,,,
IndividualBP_C_66,Explore,0:31,16,17,,,
IndividualBP_C_72,Explore,0:31,22,10,,,
IndividualBP_C_71,Explore,0:35,19,13,0:21,10.85365854,10.75609756
IndividualBP_C_7,Fast Buy,0:05,3,1,,,
IndividualBP_C_4,Fast Buy,0:06,1,1,,,
IndividualBP_C_8,Fast Buy,0:08,2,2,,,
IndividualBP_C_0,Fast Buy,0:09,7,2,,,
IndividualBP_C_11,Fast Buy,0:10,5,2,,,
IndividualBP_C_5,Fast Buy,0:10,2,2,,,
IndividualBP_C_14,Fast Buy,0:11,8,2,,,
IndividualBP_C_16,Fast Buy,0:17,13,6,,,
IndividualBP_C_21,Fast Buy,0:19,11,6,,,
IndividualBP_C_17,Fast Buy,0:19,3,7,,,
IndividualBP_C_22,Fast Buy,0:22,14,9,,,
IndividualBP_C_25,Fast Buy,0:22,16,6,,,
IndividualBP_C_32,Fast Buy,0:23,16,8,,,
IndividualBP_C_27,Fast Buy,0:25,5,12,,,
IndividualBP_C_29,Fast Buy,0:26,13,9,,,
IndividualBP_C_30,Fast Buy,0:26,14,6,,,
IndividualBP_C_45,Fast Buy,0:27,12,12,,,
IndividualBP_C_43,Fast Buy,0:27,7,12,,,
IndividualBP_C_38,Fast Buy,0:27,10,12,,,
IndividualBP_C_41,Fast Buy,0:28,17,11,,,
IndividualBP_C_33,Fast Buy,0:29,42,14,,,
IndividualBP_C_42,Fast Buy,0:32,21,5,,,
IndividualBP_C_47,Fast Buy,0:32,10,10,,,
IndividualBP_C_52,Fast Buy,0:32,7,14,,,
IndividualBP_C_54,Fast Buy,0:32,20,16,,,
IndividualBP_C_64,Fast Buy,0:34,12,14,,,
IndividualBP_C_51,Fast Buy,0:35,20,6,,,
IndividualBP_C_68,Fast Buy,0:36,18,19,,,
IndividualBP_C_56,Fast Buy,0:36,53,13,,,
IndividualBP_C_63,Fast Buy,0:37,16,19,,,
IndividualBP_C_70,Fast Buy,0:39,13,18,,,
IndividualBP_C_78,Fast Buy,0:42,19,17,,,
IndividualBP_C_81,Fast Buy,0:43,36,19,,,
IndividualBP_C_76,Fast Buy,0:50,30,20,,,
IndividualBP_C_73,Fast Buy,0:57,29,20,0:26,15,10.05714286
Duration,3:13,,,,,,
