Type,Collisions,,,,,,
Names,States,Time Spent,Number Of Collisions,List Size,,,
IndividualBP_C_0,Explore,0:06,1,1,,,
IndividualBP_C_1,Explore,0:17,0,5,,,
IndividualBP_C_3,Explore,0:17,0,16,,,
IndividualBP_C_5,Explore,0:17,0,20,,,
IndividualBP_C_4,Explore,0:18,1,9,,,
IndividualBP_C_7,Explore,0:21,3,9,,,
IndividualBP_C_11,Explore,0:22,2,12,,,
IndividualBP_C_18,Explore,0:22,5,3,,,
IndividualBP_C_20,Explore,0:24,4,6,,,
IndividualBP_C_24,Explore,0:24,4,11,0:18,2,9.2
IndividualBP_C_2,Fast Buy,0:15,3,2,,,
IndividualBP_C_6,Fast Buy,0:19,2,6,,,
IndividualBP_C_8,Fast Buy,0:23,3,7,,,
IndividualBP_C_10,Fast Buy,0:25,2,6,,,
IndividualBP_C_9,Fast Buy,0:28,6,9,,,
IndividualBP_C_12,Fast Buy,0:28,6,9,,,
IndividualBP_C_15,Fast Buy,0:29,4,9,,,
IndividualBP_C_13,Fast Buy,0:37,8,13,,,
IndividualBP_C_16,Fast Buy,0:39,9,15,,,
IndividualBP_C_14,Fast Buy,0:44,9,16,,,
IndividualBP_C_19,Fast Buy,0:45,7,18,,,
IndividualBP_C_17,Fast Buy,0:47,12,20,,,
IndividualBP_C_23,Fast Buy,0:52,16,20,0:33,6.692307692,11.53846154
Duration,2:32,,,,,,
