Type,Collisions,,,,,,
Names,States,Time Spent,Number Of Collisions,List Size,,,
IndividualBP_C_0,Explore,0:33,2,4,,,
IndividualBP_C_6,Explore,0:30,0,5,,,
IndividualBP_C_8,Explore,0:47,6,9,,,
IndividualBP_C_9,Explore,0:36,3,10,,,
IndividualBP_C_10,Explore,0:30,0,12,,,
IndividualBP_C_12,Explore,0:38,2,12,,,
IndividualBP_C_13,Explore,0:37,1,15,,,
IndividualBP_C_15,Explore,0:26,4,16,,,
IndividualBP_C_17,Explore,0:33,3,16,0:34,2.333333333,11
IndividualBP_C_2,Fast Buy,0:27,0,3,,,
IndividualBP_C_3,Fast Buy,0:28,8,9,,,
IndividualBP_C_1,Fast Buy,0:45,4,9,,,
IndividualBP_C_4,Fast Buy,0:55,5,10,,,
IndividualBP_C_5,Fast Buy,1:06,7,10,,,
IndividualBP_C_11,Fast Buy,0:48,5,11,,,
IndividualBP_C_7,Fast Buy,0:54,5,12,,,
IndividualBP_C_14,Fast Buy,0:45,7,14,,,
IndividualBP_C_16,Fast Buy,0:56,16,17,,,
IndividualBP_C_18,Fast Buy,1:33,1,18,,,
IndividualBP_C_19,Fast Buy,1:30,1,18,0:55,5.363636364,11.90909091
Duration,5:37,,,,,,
